Date,DateID,Day,Month,Year
2010-12-01 08:26:00,1,1,12,2010
2010-12-01 08:28:00,2,1,12,2010
2010-12-01 08:34:00,3,1,12,2010
2010-12-01 08:35:00,4,1,12,2010
2010-12-01 08:45:00,5,1,12,2010
2010-12-01 09:00:00,6,1,12,2010
2010-12-01 09:01:00,7,1,12,2010
2010-12-01 09:02:00,8,1,12,2010
2010-12-01 09:09:00,9,1,12,2010
2010-12-01 09:32:00,10,1,12,2010
2010-12-01 09:34:00,11,1,12,2010
2010-12-01 09:37:00,12,1,12,2010
2010-12-01 09:41:00,13,1,12,2010
2010-12-01 09:45:00,14,1,12,2010
2010-12-01 09:53:00,15,1,12,2010
2010-12-01 09:56:00,16,1,12,2010
2010-12-01 09:57:00,17,1,12,2010
2010-12-01 09:58:00,18,1,12,2010
2010-12-01 09:59:00,19,1,12,2010
2010-12-01 10:03:00,20,1,12,2010
2010-12-01 10:19:00,21,1,12,2010
2010-12-01 10:29:00,22,1,12,2010
2010-12-01 10:37:00,23,1,12,2010
2010-12-01 10:39:00,24,1,12,2010
2010-12-01 10:47:00,25,1,12,2010
2010-12-01 10:51:00,26,1,12,2010
2010-12-01 10:52:00,27,1,12,2010
2010-12-01 10:53:00,28,1,12,2010
2010-12-01 11:21:00,29,1,12,2010
2010-12-01 11:22:00,30,1,12,2010
2010-12-01 11:27:00,31,1,12,2010
2010-12-01 11:29:00,32,1,12,2010
2010-12-01 11:32:00,33,1,12,2010
2010-12-01 11:33:00,34,1,12,2010
2010-12-01 11:34:00,35,1,12,2010
2010-12-01 11:41:00,36,1,12,2010
2010-12-01 11:45:00,37,1,12,2010
2010-12-01 11:49:00,38,1,12,2010
2010-12-01 11:57:00,39,1,12,2010
2010-12-01 11:58:00,40,1,12,2010
2010-12-01 12:03:00,41,1,12,2010
2010-12-01 12:08:00,42,1,12,2010
2010-12-01 12:12:00,43,1,12,2010
2010-12-01 12:15:00,44,1,12,2010
2010-12-01 12:22:00,45,1,12,2010
2010-12-01 12:23:00,46,1,12,2010
2010-12-01 12:27:00,47,1,12,2010
2010-12-01 12:31:00,48,1,12,2010
